random_point_id,random_person_name,longitude,latitude,something,something_else,random_amount,random_timestamp,random_look_up_value,random_another_look_up_value,dash-character
11,70e4b491610b6d56e1dcb01bd6a54914,250478.8553,436908.0835,9b8846ed233eba98b2ebc9c655326444,0.000969395,468.24,12/9/2018 1:16,1827dc8bfa6fad8a1962de8af9c3c2ec,3bd0bc72b0e2827ed7e27f6e7fd13789,0.383747324
12,24d4462c1a5f4320bedd8f63a0d7edb2,131902.4085,326919.1479,77c1594f7fc787aade0217cbbe870913,0.798774866,220.92,11/10/2021 14:07,19970d6c0936b4fce425b0b3b075f794,ef5be8ed8b1397251f7ad096a899bc6d,0.490357473
13,1f8862087a25253858644e0953d48c20,138336.3864,589470.7678,356a8877a7563d48621add64a53d02ed,0.336331538,960.29,5/10/2021 10:06,34c1c74077518df33ce0f86681e8aba0,aed51ecd601c5cc9b484d719f0549aca,0.633500256
14,d8b55636554c6e9a57325e57cfd57666,111415.2356,359420.4219,d274f8eacddfbd202e328e6c88187cce,0.722996309,11.19,5/29/2024 15:26,81117d7c63055f282982ebe847813842,a82cd7e43464d7c5bcda07c5051253a2,0.757889882
15,e72e1e6a5910aef5510f9930947d88a8,156316.42,470554.6887,38f5bf49f66188147663e248b0c31778,0.959243012,281.55,11/16/2015 4:04,8deb6ada12f7c7b8b567085253aa21c6,dc763e56827e002836ec099b221007cd,0.210568845
16,e024beacc79d7e2ac55fc9fc44dc6a78,200607.7662,435485.8131,efbec8451f9eea8baec257b7ae772ade,0.213033566,873.15,7/15/2019 20:12,8deb6ada12f7c7b8b567085253aa21c6,afb3f11317a87728c704268db1ceaac1,0.106843359
17,f6e6f3ea457fb87297f2ee650c5f26fb,155920.7144,492305.456,cf9a503a55649cab96752e0a882dc884,0.24147135,342.54,4/24/2016 8:35,ecf6da762b4b6eba1655076051e12eec,ad987d707012e13441710368437caeed,0.081366838
18,dd8224ebc30171e348ae5534175c2d7d,103539.4564,594511.6458,f6218a706ee4029c2b286b515fed6c8b,0.005075046,853.38,10/17/2022 11:36,f5392d09ce712c934137c95838e72a30,3e99c87269e0c2b5b23d13ea97180516,0.830240698
19,a0f463859cfd3c798eb5da15767f00c1,84325.6366,583052.8061,fe90c536129cdcdcde6e2eead0b54688,0.586239263,922.44,4/23/2021 11:35,8deb6ada12f7c7b8b567085253aa21c6,3f74f39725ba05d22c2470cf0689c5a6,0.68231143
20,8f2f80ecea66567803ec99f2363e2a84,206065.5995,465561.2843,e71d8c146159c447161fa6d3faf52b26,0.686248076,383.35,6/16/2021 7:07,34c1c74077518df33ce0f86681e8aba0,3f74f39725ba05d22c2470cf0689c5a6,0.049144345
21,46687e4f47d98956de709c8a77b552b8,200683.0058,568047.3002,f53ff6eb2c5c05b988d8e64c434ecc86,0.718024542,435.03,6/24/2019 23:27,ecf6da762b4b6eba1655076051e12eec,6db6cc359f1fb74069aacc03213e845d,0.135049054
22,af95c21dd30ee483896db6c4044a0114,236659.7174,623179.0032,b0bf123e8c10bcb2953e04bff627adfc,0.425453598,362.1,12/5/2020 1:16,ecf6da762b4b6eba1655076051e12eec,cfe72c546dfc825803a7903af30b84bd,0.679496282
23,e61642e60f0e1fcbcbab55894c23e895,62933.02088,484206.8129,e15cb49f2bc81440e6c78b0892b7008f,0.994802769,418.68,10/22/2017 15:23,f5392d09ce712c934137c95838e72a30,dc763e56827e002836ec099b221007cd,0.739651476
24,9727396ec66776b63e97496783299b9f,76030.2959,362320.75,2c4a4edda2af7284ea902540b84c493e,0.339055179,952.57,11/27/2020 17:11,d71002068cfe3b06b7c282b708a328a2,9c04b332a35c602691a9829718258976,0.882784541
25,ffbd928f53719c3e016d4e571931bc83,37294.84093,616520.7092,5313dc2b599e09454551350df893fdf6,0.050807807,665.2,8/30/2022 4:20,81117d7c63055f282982ebe847813842,72eca6b81b4410ba974d2e33d88de6d4,0.476098374
26,c1ed7c1fff5b1e79e2d4c23cf48f6061,31808.26892,351158.5743,95cc68fde414e0150789a87ea04e1b53,0.962094938,795.87,10/30/2024 17:52,d71002068cfe3b06b7c282b708a328a2,8d6d5c5a4026e47002c02b2c9c0339d5,0.661028305
27,d6c41671253a5d393e541ac6709aef14,108172.9064,393902.4629,d50687ba41165bc06467166c9699970f,0.207767818,379.92,2/17/2017 5:55,f5392d09ce712c934137c95838e72a30,6ac68e483f84d950176e59a981cabaaf,0.753151616
28,ad3772d982d03266a35e05eecd3797e8,116433.8175,566545.7401,a392d07425e31913aeb6d958e441886c,0.659966831,747.37,12/16/2018 8:40,d71002068cfe3b06b7c282b708a328a2,242bb6b9f39c2b463c5a2f126c47cc28,0.187237588
29,964ca5c1773d450cbe945e08dad4c735,65015.54158,611939.7785,8eacf15d02c2e99910eedcbb6a0c851c,0.941207385,336.9,7/4/2022 9:15,8deb6ada12f7c7b8b567085253aa21c6,cfe72c546dfc825803a7903af30b84bd,0.246265521
30,1f8862087a25253858644e0953d48c20,218360.0676,422246.7487,01cfa4ed37798a2110b8a9355197c2a6,0.398485504,231.62,3/3/2015 6:44,8deb6ada12f7c7b8b567085253aa21c6,3d5e9d92d82233bf1d861827bba9432a,0.986917576
31,de764469fe7d0012917c941fbb02c725,187160.1459,417756.3768,a12d10db3dee8437800a10d178fb0aa3,0.255789143,657.78,4/21/2015 6:11,5ece93aa4e0eece3c98167b8d2f84935,914ad54332afb5a1f06d6875822c702a,0.362466464
32,a074bd95a701bde0a7e69842598e46d7,281606.9183,400533.1888,8b61abdea58a97df784c721b51080d0d,0.092046763,900.05,10/20/2023 18:07,8deb6ada12f7c7b8b567085253aa21c6,184dc21d43a0d8b90698e794bc36dec9,0.204351754
33,65d5ac9ea94f4a3b11d38a2cd79f1b05,195705.7386,392291.178,145f8c5dc610d5b664a3a07fd936d27b,0.109801093,602.06,10/19/2024 20:06,5ece93aa4e0eece3c98167b8d2f84935,184dc21d43a0d8b90698e794bc36dec9,0.660174228
34,7e12beebf5d1bd09ff2b9b1541fdd837,90034.52676,635464.6835,c645f4c936685817c0d36e11de8e80b3,0.770083534,455.99,11/21/2019 0:11,19970d6c0936b4fce425b0b3b075f794,fc271b90f89d810d1bcd7c30d618245f,0.899312006
35,820f4eb0865d4d6cfbdd3af94862e750,35170.08329,560629.1225,6a1ba007a10a116af3c18030587f7fc4,0.033778647,608.65,1/7/2019 5:12,81117d7c63055f282982ebe847813842,4f5bd24332aed852095d16ab82b7fce3,0.435726576
36,f7df672df5d9d2aa0721de3c224820c2,122313.112,338253.271,006b216ceebc1da9cd94bb744ea85172,0.041278964,286.12,10/31/2017 11:26,f5392d09ce712c934137c95838e72a30,c0dd80d809670a3fecd0618897d28f87,0.625507954
37,84e988e71e10c9038187520035b0356c,96339.46061,379138.3736,53f03a06d20ac6ebade78d39e5375209,0.811883191,775.27,12/5/2019 22:46,81117d7c63055f282982ebe847813842,6ac68e483f84d950176e59a981cabaaf,0.665907595
38,d33ce5fd1c25e00ee87c5f5c16fe86db,157901.9256,627064.2472,2a749d1c7910648eab56f90692657378,0.793006156,905.45,12/14/2015 10:56,f5392d09ce712c934137c95838e72a30,8e0d4d7eea9e5c7b218f941fc7f5f7d7,0.441501854
39,171c65848eba53d11661c534e1fa0c73,211529.0539,626512.0818,22849f0fa65a496b7104c4bb35908ada,0.537041842,1.99,2/24/2021 9:23,8deb6ada12f7c7b8b567085253aa21c6,c0dd80d809670a3fecd0618897d28f87,0.567069388
40,3a69675b0d75343900cd2ce0a353b02a,70620.66225,569436.622,21ea4484297880c0ef1faf22edfa2d0d,0.740221828,184.81,5/7/2023 12:52,f5392d09ce712c934137c95838e72a30,3e99c87269e0c2b5b23d13ea97180516,0.997979417
41,b2e4f35f32e7e73cc38dc32c07ce9e86,101543.9172,582570.5939,536809bd26298da662551134e3ead977,0.511985825,159.13,7/1/2023 17:11,f5392d09ce712c934137c95838e72a30,cfe72c546dfc825803a7903af30b84bd,0.196475799
42,a6f4bbf868ebd1348dfc41df09c7cd10,123228.1744,519339.6658,d5f4226e4f822c789a44efb69f3af354,0.333549006,885.9,5/9/2017 19:12,52c8e4603c7177eb32818f861ea03e3f,914ad54332afb5a1f06d6875822c702a,0.432181014
43,c26da1cea0ac49c041f45b2e83fdd787,46929.12711,567739.3006,61cce44193401320c5a961dcab9b354c,0.348207743,867.25,8/23/2015 17:11,34c1c74077518df33ce0f86681e8aba0,79266883512d1f63cf287c78d29153cd,0.780285877
44,5141b29cdcce65ea54964de618b81a84,12288.94668,367437.6709,000b6117500d427979b29ee83ba54fbd,0.650541676,177.72,4/4/2020 7:23,ecf6da762b4b6eba1655076051e12eec,fc46bd9380b9fb8320d798d53118a8ec,0.480961768
45,bac37de8061921fb42c4506eddbd1552,40801.21757,521939.6813,405541dac76e3e98722f7dfff93cd3ec,0.213490812,798.35,9/5/2018 8:20,ecf6da762b4b6eba1655076051e12eec,9c04b332a35c602691a9829718258976,0.805133888
46,302bf196ab9bbe7af3b5a050218f532f,272420.7578,374444.8299,85ce7f24b94156c229a003b02d483c85,0.227132111,551.98,1/11/2019 10:41,8deb6ada12f7c7b8b567085253aa21c6,3f74f39725ba05d22c2470cf0689c5a6,0.498363083
47,66a7a86c75bb7122facfbf9871356111,63806.52319,446079.9606,c42405654f600bdacec516c6283b979e,0.496045963,822.17,7/18/2024 3:14,81117d7c63055f282982ebe847813842,242bb6b9f39c2b463c5a2f126c47cc28,0.356551693
48,4e617c3f43c1fcac1e63be80658825be,29080.64284,499391.7345,713d2c75942816680e69d1403f8f5eb7,0.338019439,891.5,10/2/2021 18:25,34c1c74077518df33ce0f86681e8aba0,184dc21d43a0d8b90698e794bc36dec9,0.931742276
49,0b50b39c4a1eb7a2fe5dd930f8f3e0bd,149666.5244,572516.3593,858ca2fe5308cbcb72d7d2dd0075b275,0.189425492,830.63,4/7/2019 19:54,d71002068cfe3b06b7c282b708a328a2,4e0ed7e5304a6c0d2ad5bd1e742d1e2e,0.727518439
50,5d853d355cb3d666ea7ac9b5c1e3bc8e,82989.83655,468142.1656,af9ebce78656ba91bd40117535a3a13f,0.005265793,376.75,10/30/2018 10:39,34c1c74077518df33ce0f86681e8aba0,c5bd1db39ae0228758e1fc55c8528dd4,0.272420964
51,05911f78e5427ce20fa043f346d8ed4f,159404.8958,610139.5205,e499e8f07fe8fc92d3c4991a95297b8a,0.05726478,675.67,6/21/2022 10:25,1827dc8bfa6fad8a1962de8af9c3c2ec,fc271b90f89d810d1bcd7c30d618245f,0.954211512
52,6cc761dd965247c4d8567000599bd204,220637.8094,619517.2856,cfd3dc72da211a6a41473390f3c9f133,0.003624224,439.62,4/4/2016 6:38,81117d7c63055f282982ebe847813842,14ecb7e068cc04ebee5eaf45d393d74d,0.552477003
53,0e0010c15b9948b9137f3dc80824a5a0,127250.3873,443385.7323,edc92b67c354b95356ff3f139213a3e6,0.110536426,352.24,12/26/2024 10:31,34c1c74077518df33ce0f86681e8aba0,bb7aec065bd203d91f84a7fdb6657705,0.663571801
54,cf63612cb972142fcc96df6f60f86709,129250.0179,636313.3134,7187b77f702d412bc067735974e03f86,0.339130347,92.08,3/19/2022 8:40,d71002068cfe3b06b7c282b708a328a2,dc763e56827e002836ec099b221007cd,0.108718757
55,a5bc00114de940cd2ad1976ebc83f4aa,138702.0717,414045.4281,a4b42d34aa46dd576f710b159499dcbf,0.122383894,348.14,4/8/2016 15:54,1827dc8bfa6fad8a1962de8af9c3c2ec,160005ec3beafc59eb13132b5adfc4ca,0.438585369
56,2dccd3709f6c76ee7e270628c55fbbee,165089.3687,376138.548,8516a71d66ababf3f085bb8126a34cda,0.10424753,669.01,8/15/2016 0:37,5ece93aa4e0eece3c98167b8d2f84935,d5f3181d31ffd1e2bcfec5bbd8fde771,0.578044617
57,dcb6ed147a2ebce6baf973e86025e1df,94148.48643,483625.4727,98118d48a9ca18a64ae90d2acd9a9896,0.816734668,966.25,1/31/2023 1:57,1827dc8bfa6fad8a1962de8af9c3c2ec,c5bd1db39ae0228758e1fc55c8528dd4,0.822222693
58,c4baad01300b142e79add1c187238acc,151956.2531,476202.2332,f11320d771c27916d996256931887c7f,0.258363226,330.32,10/12/2016 9:51,34c1c74077518df33ce0f86681e8aba0,d1da98786cc28976d33805f6f6cfca86,0.925304682
59,b7628fdbb3c694dab53d8766114aacd9,99173.48281,401410.0151,7a1f9d27597021c60c3e05c78aa03bee,0.996775649,402.14,2/28/2020 13:38,ecf6da762b4b6eba1655076051e12eec,2b3cf8f50053136f87e82501d2f3f079,0.089765702
60,49ff1999fc693aa542853552820e3de1,246183.5002,379772.9068,351e9b8ab5548cf6879412fbde6daa05,0.746691859,566.86,12/5/2019 6:05,8deb6ada12f7c7b8b567085253aa21c6,72eca6b81b4410ba974d2e33d88de6d4,0.73544562
61,c7889477854cd9eb60d2cb9f4ea6a13f,28216.12912,631000.4209,cb484829eebf0e31bc2b620c7982666f,0.228006375,431.45,9/10/2022 14:44,f5392d09ce712c934137c95838e72a30,afb3f11317a87728c704268db1ceaac1,0.021791893
62,e995273324b60ed717ec9b7dde6b013a,80984.43633,397867.0745,d6b61d9ad09d4f921685f5ae4e2c5374,0.453647514,447.66,4/30/2016 7:25,f5392d09ce712c934137c95838e72a30,34d76c6badb357f16ae362d243f3bc9e,0.02613379
63,dd1733feaed8286712ec47885d663bf7,218307.7949,479897.2718,bb2f1c00bddd963cdc802fb6c90a9e6e,0.757968467,726.45,2/6/2019 4:29,f5392d09ce712c934137c95838e72a30,242bb6b9f39c2b463c5a2f126c47cc28,0.10637388
64,8af33a82672c742bbe4e9c20d8e73793,154227.6017,428929.9114,c31644f8470983f316bb0e27fd1ef880,0.788507465,433.17,10/24/2023 6:43,ecf6da762b4b6eba1655076051e12eec,d5f3181d31ffd1e2bcfec5bbd8fde771,0.455215725
65,ebbdf7b807260f3cdb3e9f38fba9dd7a,89547.14676,434301.1784,28332d7aa4182a2b46660669f3d034e3,0.140882488,79.84,1/16/2021 23:07,5ece93aa4e0eece3c98167b8d2f84935,6ac68e483f84d950176e59a981cabaaf,0.889091785
66,a63456196eb8f6702b920206e9e5320f,225878.0411,368066.5899,33ce91fbd9bf7650825b170efac49507,0.221695399,259.63,7/16/2016 14:14,ecf6da762b4b6eba1655076051e12eec,3f74f39725ba05d22c2470cf0689c5a6,0.009289207
67,23382fac7187203eb05d87567dbbe580,186142.7242,384340.931,f5e6d7eafc8b8b9e8064d57715158cc6,0.540306229,166.58,9/10/2015 10:21,81117d7c63055f282982ebe847813842,25e5af3a5812e448914a57aab6098625,0.573244947
68,74da48a7040b4c634067a457630dfb68,131020.7393,337149.3808,e5d4e1cee9f8973b873921620281e733,0.829271007,674.31,9/15/2017 9:56,5ece93aa4e0eece3c98167b8d2f84935,14ecb7e068cc04ebee5eaf45d393d74d,0.065322153
69,d8b55636554c6e9a57325e57cfd57666,273485.6908,476785.1365,f1f629c2d1a27c688c56f6763ab1f136,0.906561259,920.75,1/2/2023 20:06,f5392d09ce712c934137c95838e72a30,16d8c9d2dd3f04afaaa91473a26ed1ee,0.450188491
70,a5bc00114de940cd2ad1976ebc83f4aa,93826.21922,472665.4068,53a7f59ba048ae875632259bbd5e4f1d,0.861220431,669.26,12/28/2016 13:14,1827dc8bfa6fad8a1962de8af9c3c2ec,1bba859943c3cdc24d690234c9753e0c,0.116670664
71,505b433873f61ca3b4861db0a61c472f,233795.1642,521750.3812,d5e18175826c52b426b55c017cbae7f7,0.168057368,144.44,5/16/2018 21:26,8deb6ada12f7c7b8b567085253aa21c6,883e4bca0ba2058e3cbea43808e10352,0.311009341
72,cb44c5fbdb3d1f6bd1d4b5ce016d71b1,70773.00025,432939.7604,ed73d4e2914d09018c7f1226c122322e,0.525899843,323.42,11/22/2019 8:53,8deb6ada12f7c7b8b567085253aa21c6,ff18130d0961523e395ac673192f28ab,0.448011588
73,7d3bb6fed842eab112520b887b65f5fb,184836.4709,417857.2755,19595e40e47825b1c3bcbf2609e24ccf,0.236777353,599.49,12/22/2017 13:22,d71002068cfe3b06b7c282b708a328a2,242bb6b9f39c2b463c5a2f126c47cc28,0.655795361
74,949d0990cb64720ac40540a40b6985a3,200542.1185,484297.9539,470e292f73386dfb9a76ed372be2ce1f,0.578492291,418.38,8/9/2016 0:32,34c1c74077518df33ce0f86681e8aba0,d1da98786cc28976d33805f6f6cfca86,0.630619064
75,97012ce3660461e56c7368dccb042c54,119923.7196,321770.4498,6d4f5d5b09d340bdaed46a2bc1565f6d,0.008067422,560.45,3/2/2021 17:01,f5392d09ce712c934137c95838e72a30,14ecb7e068cc04ebee5eaf45d393d74d,0.275540333
76,3227e4355244339eb2d85629b4ecc788,206264.8286,544896.8312,030b24fbd85121110d2e945245711118,0.91559571,642.69,10/2/2023 11:03,81117d7c63055f282982ebe847813842,afb3f11317a87728c704268db1ceaac1,0.890078538
77,306e4367fcee6585d1b67e00cf7fd5aa,170299.1002,481328.6918,002e131d6b7f9bf46ce526208518a9b7,0.633511278,628.5,9/12/2020 11:44,52c8e4603c7177eb32818f861ea03e3f,8d6d5c5a4026e47002c02b2c9c0339d5,0.634266558
78,e72e1e6a5910aef5510f9930947d88a8,72457.97387,329664.9889,047fd74ee298d91a056bf3f24477488b,0.211067834,442.45,3/12/2022 10:48,d71002068cfe3b06b7c282b708a328a2,b63c0f2567cc10079f4dae731f245a02,0.172945828
79,af95c21dd30ee483896db6c4044a0114,10107.52436,631858.4892,f5565e3aba28db5eb3e717763ba18a9e,0.163048786,520.8,10/13/2017 8:09,5ece93aa4e0eece3c98167b8d2f84935,883e4bca0ba2058e3cbea43808e10352,0.425235944
80,f6c68bfc67bf5cf78e9bcdcd942850b4,123532.5224,381875.2827,6b84746c0c1aa6f5899cb284769f49db,0.680011566,413.34,2/27/2019 5:25,19970d6c0936b4fce425b0b3b075f794,e564186a1e4c49d75ed684a0c4e5c4c0,0.107022861
81,919427a12f65188dc3bf50e9654a57d9,14352.07328,448511.8078,d48ee2009b5c5b51b220aab0d9838d6d,0.188632907,559.05,12/19/2024 4:15,1827dc8bfa6fad8a1962de8af9c3c2ec,c2813e1ed62ca7cdc872aef5388af0ef,0.715159482
82,9a5b807387fa307c30a941bd4dc4baa8,170654.6217,346827.078,af0f065766bae5a79e5e56d86c7a7f18,0.328292146,559.41,4/7/2022 19:57,81117d7c63055f282982ebe847813842,184dc21d43a0d8b90698e794bc36dec9,0.011835785
83,49ff1999fc693aa542853552820e3de1,76960.69437,456278.5294,72d820a4e4dce8f478e72653686e6063,0.376601431,682.98,4/26/2015 8:15,f5392d09ce712c934137c95838e72a30,f67e5130bf2acec9a891808b7048afb1,0.224104081
84,01b54b4740f9c39babe107c811cb7f46,20301.89329,402364.6811,83ffbacf33615a992880ed55331486b6,0.534235306,768.59,5/6/2017 22:07,52c8e4603c7177eb32818f861ea03e3f,fc46bd9380b9fb8320d798d53118a8ec,0.6715652
85,e72e1e6a5910aef5510f9930947d88a8,38380.8118,405885.5133,7deb1779fac94ddabf453cd4ef665ca8,0.749572822,11.33,10/5/2021 21:15,52c8e4603c7177eb32818f861ea03e3f,bb7aec065bd203d91f84a7fdb6657705,0.516334809
86,be10c6b7e430d63f00af4d8220c63fc1,190261.5163,553512.5453,fc3481016ebd0b2c95176e6676bba47a,0.517163376,473.17,9/18/2020 6:43,81117d7c63055f282982ebe847813842,72eca6b81b4410ba974d2e33d88de6d4,0.732092339
87,dbef5b0bfcf091d7244de17dde677245,213820.6021,529183.6943,78942f654934e4f87a67b11b421d3e44,0.271058319,262.49,5/8/2015 0:09,d71002068cfe3b06b7c282b708a328a2,f179dd96b50e793869eabcc7a312ef23,0.198619641
88,aab706c6b585edd4b19a1c01ccb232c5,169412.907,635041.8764,29244f42afa395c12a82ef4443d0e02c,0.174184144,675.1,3/19/2020 16:53,f5392d09ce712c934137c95838e72a30,c8a6ca40b16431a491e23e8e1e009065,0.326989074
89,bb429c0758d91ad4a7248a43bba283d8,7118.901927,574120.9027,5e971ddea28e58ee072d82d07988ac3f,0.697115247,731.03,11/16/2015 12:38,34c1c74077518df33ce0f86681e8aba0,b45096243a1345200c27b3d30b74058a,0.637562859
90,89c674a5bb13ddb0a755e41563ab7680,256777.1397,466942.6379,7bc45d202b6def30b7c1c7f1aab49372,0.912155086,321.92,7/22/2017 21:02,f5392d09ce712c934137c95838e72a30,877ceff138f040ca25bd4c1f0080e450,0.874193679
91,d482a32f42bd37c0794c65129fbbf828,171286.0216,399276.1216,fc9052abc33afe326c195c5e1aefa825,0.789249288,993.74,9/11/2022 6:41,81117d7c63055f282982ebe847813842,8d6d5c5a4026e47002c02b2c9c0339d5,0.21632235
92,b3767a34817470cc926a8e865c04f318,62168.15287,315152.959,3435c079fc0026d0b36a1cc4bbaf56de,0.466003368,418.4,5/30/2017 14:44,52c8e4603c7177eb32818f861ea03e3f,ad987d707012e13441710368437caeed,0.915778386
93,3f0e6f8670212098d23868932c400ce0,238341.069,577136.6804,eedb0478210c26d0278b3d7d6e4f5efe,0.831406312,90.26,6/27/2017 8:43,52c8e4603c7177eb32818f861ea03e3f,afb3f11317a87728c704268db1ceaac1,0.753605075
94,a7122b27f1e96c02bb0273b7b4c5b84b,243339.6217,441161.3635,c2913b6d40503a72f7b7db255d446620,0.27758987,252.03,5/12/2016 14:54,34c1c74077518df33ce0f86681e8aba0,e564186a1e4c49d75ed684a0c4e5c4c0,0.397628765
95,8157a464403cda3190ce4f7db06ce97b,84037.53959,493453.361,d7f8606b20fe8719ddb1136aa56e2289,0.96127713,588.05,8/3/2024 1:19,1827dc8bfa6fad8a1962de8af9c3c2ec,f179dd96b50e793869eabcc7a312ef23,0.404124064
96,7e120cd09d188144d355677ff1a37feb,185864.3978,623307.0569,ced93615eee6303b6e04e9cbb3138fcc,0.811063259,697.78,2/20/2017 9:03,1827dc8bfa6fad8a1962de8af9c3c2ec,ef5be8ed8b1397251f7ad096a899bc6d,0.904019088
97,dcb6ed147a2ebce6baf973e86025e1df,229024.9052,557672.0979,8c0917380c5511fa35aa94d2be5d1f29,0.112271394,700.89,10/8/2017 3:50,8deb6ada12f7c7b8b567085253aa21c6,f179dd96b50e793869eabcc7a312ef23,0.149739345
98,90bfb875b33342d1ee7ed88b5f8eb2a9,49115.3258,615550.3117,93e57cac1e8918951e864fe04c12d8d8,0.201157991,747.75,7/11/2020 5:34,81117d7c63055f282982ebe847813842,b45096243a1345200c27b3d30b74058a,0.073981857
99,7f21bac6b096e82fff4ce4740d0aed67,182329.1233,535041.6673,52312a48ef7a98a4258ac34d5810c26c,0.367399637,481.76,7/29/2015 20:53,1827dc8bfa6fad8a1962de8af9c3c2ec,6ac68e483f84d950176e59a981cabaaf,0.874294294
100,3d1f5c593aba029ea60a224dfbe8bbf9,8253.958868,345036.8714,0b3bfa1429d0dc871759104247ee4597,0.870147889,186.06,1/23/2019 14:16,ecf6da762b4b6eba1655076051e12eec,409932fe9ab3798b134d2958da56ee6c,0.732033752
101,b068cf2f2990c809a3d44b3633bb764b,146701.5653,562353.0472,463e2aafa1ee8e7bb67653e56e9f93ed,0.249935296,58.18,1/4/2020 14:59,8deb6ada12f7c7b8b567085253aa21c6,c0dd80d809670a3fecd0618897d28f87,0.992697919
102,75cc86d58e43d2d1b275d12f9d8f0f5a,191397.307,375444.4718,3836f1061831cf5222b0cfe41e6bea2e,0.207174792,697.42,1/9/2023 12:50,19970d6c0936b4fce425b0b3b075f794,883e4bca0ba2058e3cbea43808e10352,0.165234325
103,46687e4f47d98956de709c8a77b552b8,236498.1882,581007.8118,9ec24cd317ac8a76ea4051447c0dc903,0.918111348,917.38,11/19/2015 15:46,8deb6ada12f7c7b8b567085253aa21c6,8c4211bb9246e63d9e050e6148bea141,0.676092709
104,2e33a0ae7ea974b2dda9c05e37c9c38b,102436.4443,629924.5829,985695fe0f81c2a2a36420bd406c5070,0.080429573,659.7,3/15/2020 3:44,1827dc8bfa6fad8a1962de8af9c3c2ec,f179dd96b50e793869eabcc7a312ef23,0.471717809
105,11d98237fbb09b0abd097b747558ddfc,127775.4384,457105.6064,bf20f9a5a57317fe7424cebed71ed5f2,0.392239007,382.77,4/19/2020 11:01,ecf6da762b4b6eba1655076051e12eec,877ceff138f040ca25bd4c1f0080e450,0.879986678
106,e217075164cd12820f8e6778ebfa54e9,73694.94062,384929.4959,761b5eff57df1d330a3b41b29f5a2420,0.848170621,426.44,10/25/2016 2:10,52c8e4603c7177eb32818f861ea03e3f,f67e5130bf2acec9a891808b7048afb1,0.992752497
107,be10c6b7e430d63f00af4d8220c63fc1,263386.5786,479258.445,ba4ea84189512daeca318647ffea4bf1,0.822518757,650.88,7/19/2023 17:55,81117d7c63055f282982ebe847813842,72eca6b81b4410ba974d2e33d88de6d4,0.641017357
108,7cf7787e482772e1d253128519b0a923,281383.4227,445149.5466,1b3890c306894da4e1921d6779677c57,0.648822715,54.82,4/2/2017 2:35,52c8e4603c7177eb32818f861ea03e3f,be66736dc2959f6a529b5a4ab8aa613b,0.521046191
